word,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009
anisotropic,0,0,6,3,3,7,2,7,7,2,9,7,5,1,7,5,9,7,11,13,14,29,20,27,30,37,38,39,53,43,42,61,57,60,59,63,64,81,68,74,68,78,78,89,100
anisotropies,4,0,0,0,4,4,19,14,9,0,14,19,4,4,9,4,9,9,14,14,38,9,14,14,33,33,23,38,52,42,85,71,95,57,47,42,61,52,57,95,61,100,71,85,80
anisotropy,1,0,8,6,9,8,5,3,18,9,15,15,11,18,9,9,7,7,12,12,9,29,27,30,29,37,43,52,57,59,66,68,71,82,67,60,82,100,76,82,81,86,75,82,89
annealed,0,12,25,12,12,0,0,0,0,0,37,0,12,0,12,12,62,12,12,50,62,37,37,62,50,62,12,50,75,50,62,100,50,75,62,75,50,50,50,37,37,87,75,25,50
annealing,8,8,28,16,12,8,12,4,0,8,4,0,4,12,4,0,40,20,16,20,8,40,36,28,36,48,24,32,52,64,68,56,56,56,44,52,68,48,40,76,100,52,44,56,44
annihilation,23,2,4,4,0,23,23,12,19,19,44,38,25,29,27,19,29,29,19,12,40,38,19,34,65,46,63,46,14,65,63,61,51,31,34,36,27,68,57,53,78,72,61,61,100
annihilations,71,85,28,28,42,57,0,14,71,71,71,42,14,14,42,71,42,71,42,71,42,57,71,71,85,42,57,28,28,0,28,14,28,28,42,28,57,28,0,100,57,57,85,85,57
anomalies,0,22,19,11,22,13,27,27,38,19,19,30,38,22,38,16,22,30,47,50,55,77,69,47,66,55,69,44,41,44,41,66,80,36,55,55,52,100,33,72,61,63,63,75,75
anomalous,0,0,9,14,11,20,14,13,9,17,12,16,17,14,13,15,12,17,16,22,31,31,28,50,29,42,50,45,33,57,65,81,68,70,65,72,85,97,74,100,91,100,84,97,91
anomaly,2,5,13,7,15,0,18,23,26,5,18,18,26,31,2,26,47,23,23,34,50,55,73,73,47,63,50,55,34,23,55,57,78,68,71,63,100,94,78,76,97,86,94,94,100
ansatz,0,0,10,0,20,10,10,0,0,0,10,20,0,0,10,0,10,60,20,0,20,70,70,30,50,50,70,80,40,50,60,40,30,60,60,40,40,70,70,50,30,40,30,100,90
anti,10,0,0,10,0,6,0,3,0,6,13,3,0,6,10,3,17,20,6,3,0,27,13,20,6,3,20,10,24,31,41,31,31,37,65,79,100,89,62,93,96,82,75,68,93
antiferroelectric,15,0,7,7,15,15,7,7,15,0,7,7,0,7,7,0,15,0,7,15,7,15,7,0,15,23,23,7,38,0,76,53,15,53,53,69,76,100,53,53,46,15,30,38,23
antiferromagnet,3,3,0,10,15,14,14,10,7,4,6,12,10,14,9,21,15,18,18,14,26,21,14,29,60,54,67,75,62,73,56,67,53,51,46,60,54,70,54,70,78,84,100,85,82
antiferromagnetic,0,3,4,4,14,8,8,4,6,3,10,2,4,1,3,12,11,8,1,8,15,17,23,36,31,39,34,37,39,60,56,54,88,53,80,75,68,80,66,79,100,76,52,81,96
antiferromagnetism,21,26,26,34,26,30,0,8,4,4,4,17,8,13,8,8,4,26,17,0,13,21,30,56,43,52,43,21,34,34,17,47,26,30,52,69,52,69,52,100,73,73,100,65,73
antiferromagnets,0,14,9,2,11,11,7,23,19,16,14,7,19,11,11,21,7,7,23,4,14,4,16,40,54,61,66,64,66,42,61,71,35,47,66,73,47,54,38,35,52,71,100,64,45
antiproton,73,13,6,40,20,40,33,40,53,20,26,13,20,20,0,13,13,33,40,33,40,46,26,40,73,66,60,73,53,100,46,26,80,60,60,66,66,46,46,33,60,33,53,86,73
apparent,25,25,8,16,8,8,16,16,16,25,0,16,33,0,8,8,8,16,8,33,8,16,25,41,25,41,0,16,33,50,58,33,50,58,58,41,41,50,66,66,66,33,100,75,33
appearance,0,0,11,0,0,22,22,33,0,22,55,22,11,22,33,22,22,11,0,33,33,44,11,11,11,33,22,55,66,22,88,11,55,55,44,77,55,33,77,88,100,33,44,44,44
application,0,17,3,13,6,21,27,47,26,22,19,21,30,25,15,29,21,39,44,55,52,42,63,53,50,52,46,50,72,59,53,70,65,72,62,59,73,90,69,68,87,86,100,93,94
applications,0,0,21,19,4,7,9,11,4,7,4,14,14,21,11,2,7,16,16,9,54,26,38,26,45,40,19,30,52,57,47,35,21,38,28,42,50,54,38,50,57,52,52,97,100
applied,8,0,25,5,22,14,17,5,11,25,25,25,5,5,37,25,34,22,20,31,28,20,45,57,42,42,77,28,45,60,48,62,51,48,37,62,37,22,51,62,82,51,100,60,68
approach,0,0,3,6,2,8,13,8,12,11,12,11,11,19,18,14,18,23,22,23,31,32,37,43,44,45,45,46,53,55,68,69,70,69,82,80,58,85,72,79,96,85,94,100,96
approaches,6,0,0,0,6,0,6,6,46,0,26,0,20,6,13,26,26,6,20,20,13,0,26,13,40,40,53,40,60,53,53,46,33,13,53,46,53,100,33,53,86,73,93,100,93
approximate,56,31,31,18,18,6,31,50,43,81,6,6,18,18,0,25,37,18,31,43,37,50,12,50,43,62,37,18,37,87,12,56,75,18,37,100,31,56,43,37,68,43,25,87,75
approximation,0,1,7,9,11,22,23,28,35,29,43,38,30,42,34,36,44,45,41,53,54,57,38,64,63,63,73,82,70,67,53,71,58,72,64,78,85,100,58,57,84,94,96,96,79
approximations,0,16,16,55,33,33,55,27,27,50,33,44,44,33,55,27,83,38,44,38,66,100,72,61,66,55,72,55,33,66,38,50,72,66,38,55,22,66,38,44,33,50,61,83,72
aqueous,0,0,6,0,0,6,12,12,0,0,0,6,0,12,0,6,6,0,12,12,0,6,6,12,0,0,31,25,12,25,25,43,25,75,18,50,62,100,25,37,62,81,43,50,50
ar,11,22,2,0,13,33,50,80,41,41,52,44,52,36,25,19,25,0,52,27,38,58,63,72,100,94,83,94,88,77,75,41,47,61,47,38,55,58,25,30,69,33,22,16,27
arbitrary,0,12,12,8,14,14,16,20,20,10,8,12,18,2,8,4,30,2,16,28,18,36,16,16,18,20,32,48,36,64,52,56,44,46,62,46,52,60,56,66,100,94,76,94,88
are,0,7,10,10,10,7,7,28,21,14,57,14,21,25,14,14,25,14,32,21,25,21,46,35,21,10,17,39,50,14,46,32,53,46,28,50,67,78,75,71,96,78,78,92,100
argon,4,52,0,33,28,80,38,66,100,61,52,66,23,28,33,38,4,28,47,23,38,76,33,52,47,71,38,66,52,61,52,47,52,19,19,9,23,47,38,0,9,23,28,57,14
array,0,0,0,0,0,2,0,0,0,2,2,0,2,2,0,2,0,8,4,8,8,11,11,20,13,11,20,26,33,42,51,53,46,51,48,42,57,93,82,80,80,97,77,71,100
arrays,0,0,0,1,0,0,1,0,2,1,0,3,1,3,3,2,3,6,6,2,13,6,9,13,22,30,44,28,46,48,46,64,51,61,58,58,64,66,66,61,95,100,98,70,79
arsenic,45,9,36,90,36,36,27,0,27,9,18,9,9,9,18,9,0,27,9,18,18,100,100,45,90,54,18,45,36,54,36,27,36,63,54,9,27,36,36,9,36,18,27,63,45
arsenide,33,0,50,33,25,8,25,25,41,33,0,0,50,8,8,8,8,8,0,16,33,8,25,16,33,100,58,83,25,33,50,16,58,33,16,8,25,16,8,0,25,16,8,66,58
artificial,8,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,8,0,16,4,4,4,12,20,20,8,20,20,44,60,36,52,100,76,36,60,48,56,76
as,0,0,0,4,3,3,5,0,6,9,8,6,6,6,9,9,9,11,14,15,20,26,39,42,43,47,47,50,53,50,50,50,39,46,42,50,42,53,53,48,67,64,56,75,100
aspects,20,4,20,4,20,16,29,25,0,16,33,29,29,12,25,29,20,45,20,37,37,37,50,37,45,83,70,58,62,45,54,62,50,58,50,54,83,100,41,45,79,66,45,50,54
assembled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,2,10,29,31,72,65,85,82,100,68,91,85,87,65,76,82
assembly,6,3,0,3,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,3,0,3,0,0,0,9,0,9,15,9,18,12,25,31,34,71,75,96,71,100,93
assisted,5,1,2,2,5,7,2,1,2,1,0,4,2,4,1,4,4,4,2,11,4,7,2,22,16,16,15,12,25,42,35,29,28,42,43,50,35,46,66,54,100,69,69,88,56
