diode	38.94	50.85	41.18	44.94
diodes	44.05	54.49	35.3	44.61
dioxide	47.09	51.25	52.95	49.05
dipolar	45.15	68.14	29.42	50.99
dipole	70.73	71.99	64.71	71.27
dipoles	27.68	47.67	41.18	31.69
dirac	0	66.77	35.3	0
direct	45.5	74.14	58.83	52.67
directed	48.24	59.32	58.83	49.73
direction	30.21	51.59	5.89	35.71
directional	55.05	60.23	11.77	54.14
dirty	36.42	55.91	29.42	42.43
discharge	39.51	54.68	17.65	47.03
discharges	33.25	47.21	23.53	44.27
discrete	50.72	67.89	64.71	54.59
discrimination	27.68	60.76	82.36	42.82
disk	44.43	51.12	41.18	45.88
disks	41.98	57.15	64.71	43.93
dislocation	31.31	57.45	35.3	40.25
dislocations	37.74	55.04	41.18	37.01
disorder	57.9	75.63	58.83	67.19
disordered	70.35	79.09	35.3	73.71
dispersion	57.77	70.54	52.95	57.73
dispersions	35.7	54.27	47.06	39.77
dispersive	45.5	60.53	29.42	48.33
displacement	37.74	48.81	47.06	37.01
displacements	33.25	45.99	58.83	36.38
dissipation	51.59	71.75	58.83	53.18
dissipative	54.89	72.61	58.83	59.95
dissociation	40.04	63.52	41.18	45.88
dissociative	47.68	64.17	23.53	47.3
distance	41.98	59.85	23.53	41.17
distorted	64.03	59.33	41.18	63.53
distortion	44.8	57.26	35.3	45.88
distortions	44.8	56.23	52.95	45.26
distributed	41.05	55.56	52.95	40.25
distribution	66.05	80.44	64.71	67.77
distributions	69.92	72.44	52.95	69.4
